step,volatility
h.01,0.8958958901256211
h.02,0.8948410874949565
h.03,0.8937915854173455
h.04,0.8927473619948455
h.05,0.8917083953846693
h.06,0.890674663799239
h.07,0.8896461455062404
h.08,0.8886228188286762
h.09,0.8876046621449196
h.10,0.8865916538887674
h.11,0.8855837725494928
h.12,0.8845809966718987
h.13,0.8835833048563693
h.14,0.8825906757589222
h.15,0.8816030880912608
h.16,0.8806205206208245
h.17,0.8796429521708408
h.18,0.8786703616203748
h.19,0.87770272790438
h.20,0.8767400300137476
h.21,0.875782246995356
h.22,0.8748293579521192
h.23,0.8738813420430354
h.24,0.8729381784832343
h.25,0.871999846544025
h.26,0.8710663255529418
h.27,0.870137594893791
h.28,0.8692136340066963
h.29,0.868294422388143
h.30,0.8673799395910233
